messages,target
****head,1
100 pu$$is,1
100 pu$$ys,1
2 girls 1 cup,1
2g1c,1
2nd chapter in history ,0
5 star d!â¢k,1
5 star d!â©k,1
5 star d!ck,1
5 star pu$$!,1
5 star pu$$y,1
5 star pu$s!,1
69 fu*k ,1
98% of women were s!uts freshman year of college,1
98% of women were s*uts freshman year of college,1
98% of women were sluts freshman year of college,1
a,0
a balanced diet is a cookie in each hand.,0
"a boyfriend who tells hoes and s!uts, ""i have a girlfriend"", is a real ass dude.",1
"a boyfriend who tells hoes and s*uts, ""i have a girlfriend"", is a real ass dude.",1
"a boyfriend who tells hoes and sluts, ""i have a girlfriend"", is a real ass dude.",1
a casual way to ask about their well-being,0
a clear conscience is usually the sign of a bad memory.,0
A dick is what you need not a dildo.,1
a dyke who wears strap ons can't brag to me that she beats the pussy better than me because her dildo can't c*m and make her stop.,1
a dyke who wears strap ons can't brag to me that she beats the pussy better than me because her dildo can't cum and make her stop.,1
a friendly greeting to start the conversation,0
a game that keeps me entertained!,0
a gem among games!,0
a lovely day isn't it.,0
a masterpiece of nature photography!,0
a must-play for all gamers!,0
a new movie is better than an old one.,0
a small town lies between the big cities.,0
a$$,1
a$$,1
a$$,1
a$$,1
a$$ in college ,1
a$$ slapping is one the greatest things,1
a$$ slapping is one the greatest things,1
a$$hole,1
a$$hole,1
a$$hole as always ,1
a$s in college ,1
a**,1
a**,1
a**,1
a** is for kids,1
a** is prepared for di*k ,1
a** slapping is one the greatest things,1
a**hole,1
a**hole,1
â¢unâ„¢ family ,1
â¢unâ„¢ world ,1
â¢unt family ,1
â¢unt world ,1
â©unt family ,1
â©unt world ,1
abbo,1
abo,1
abortion,1
about to c*m ,1
absolutely breathtaking view.,0
absolutely in love with this.,0
absolutely mesmerizing!,0
absolutely stunning!,0
abuse,1
accessories,0
accessories,0
achievement,0
achievement,0
achievement,0
achievement,0
achievement,0
acquaintance,0
acquaintance,0
acrotomophilia,1
action,0
action,0
activism,0
activism,0
addict,1
addicts,1
adding this book to my reading list. thanks for the recommendation!,0
adult,1
adventure,0
adventure,0
adventure,0
adventure,0
adventure,0
adventure,0
adventure,0
adventure,0
advertising,0
advocacy,0
advocacy,0
advocacy,0
advocacy,0
aesthetics,0
aesthetics,0
aesthetics,0
affection,0
affection,0
affirmation,0
affirmation,0
africa,0
african,0
agree,0
"ahh, this meme just made my day brighter!",0
al habibi a$$,1
al habibi a$s,1
algorithm,0
alien pu$$!,1
alien pu$$y,1
alien pu$s!,1
all the swings are empty.,0
all these fuckin dudes do is bitch at the refs....shut the **** up and play,1
all these fuckin dudes do is bitch at the refs....shut the fuck up and play,1
all these fuckin dudes do is bitch at the refs....stfu and play,1
alla,1
allah,1
alligatorbait,1
almost completed,0
alternative,0
alternative,0
always happy,0
always stop when you see the sign.,0
amateur,1
amazing,0
amazing composition.,0
ambition,0
ambition,0
american,0
american pu$$!,1
american pu$$y,1
anal,1
analannie,1
analsex,1
analysis,0
analysis,0
analysis,0
analysis,0
analytics,0
ancestor,0
ancestor,0
and just fu*k ,1
and mia can get punched in the b**b.,1
and mia can get punched in the b00b.,1
and mia can get punched in the boob.,1
"and you thought a camera would steal your soul. shut the **** up, you stupid twat.",1
"and you thought a camera would steal your soul. shut the fuck up, you stupid twat.",1
"and you thought a camera would steal your soul. stfu, you stupid twat.",1
angie,1
angry,1
anilingus,1
animal's d!â¢k,1
animal's d!â©k,1
animal's d!ck,1
animal's pu$$!,1
animal's pu$$y,1
animal's pu$s!,1
anniversary,0
answer,0
answer,0
answer,0
anus,1
any recommendations ?,0
any tips ?,0
apple picking is not in season.,0
appreciate,0
arab,0
arabs,0
architecture,0
architecture,0
architecture,0
are these shoes too big for you?,0
Are they older or younger than you?,0
are you going to have a blue birthday cake for your next birthday?,0
are you going to have a blue birthday cake for your next birthday?,0
are you hungry,0
are you ready for for a$$,1
are you ready for your big day?,0
are you seriously going to let him talk about me that way?,0
are you sure you don't have anything bigger?,0
are you sure you're not just tired?,0
areola,1
argie,1
argument,0
argument,0
aroma,0
aroused,0
arse,1
arsehole,1
art,0
art,0
art,0
art,0
art,0
art of d!â¢k,1
art of d!â©k,1
art of d!ck,1
art of pu$$!,1
art of pu$$y,1
art of pu$s!,1
artist,0
artist,0
asian,0
asking about their occupation or profession,0
asking for suggestions on what to do next,0
asking how experienced they are with the platform or chat,0
asking why they're on the platform or in the chat,0
ass,1
ass,1
ass,1
ass slapping is one the greatest things,1
assassin,1
assassinate,1
assassination,1
assault,1
assbagger,1
assblaster,1
assclown,1
asscock is ready,1
asscowboy,1
assembly,0
asses,1
assfuck,1
assfucker,1
asshat,1
assho!e,1
asshole,1
asshole,1
assholes,1
asshore,1
assjockey,1
asskiss,1
asskisser,1
assklown,1
asslick,1
asslicker,1
asslover,1
assman,1
assmonkey,1
assmunch,1
assmuncher,1
asspacker,1
asspirate,1
asspuppies,1
assranger,1
asswhore,1
asswipe,1
astronomy at its finest! thanks for sharing this cosmic beauty.,0
"at first, he was very excited by the salary of his new job in new york, but then he realized how expensive it was to live there.",0
athletesfoot,0
attack,1
attended a fascinating lecture today. learning something new is always rewarding.,0
attended a thought-provoking ted talk. it left me inspired.,0
attended an interesting webinar on ai. fascinating topic.,0
attraction,0
attraction,0
australian,0
authentic,0
authenticity,0
author,0
author,0
auto erotic,1
autoerotic,1
automation,0
awareness,0
awareness,0
awareness,0
awareness,0
awesome,0
awesome,0
b!tâ¢h faced human,1
b!tâ¢h on a beach,1
b!tch,1
b!tch,1
b!tch face,1
b!tch faced human,1
b!tch faced human,1
b!tch is a star,1
b!tch is co*ky,1
b!tch is di*k ,1
b!tch is for me,1
b!tch is fu*king me up,1
b!tch is the target ,1
b!tch like a witch,1
b!tch on a beach,1
b!tch on me,1
b!tch on my co*k ,1
b!tch on my di*k ,1
b!tches ,1
b!tches c*m ,1
b!tches fu*k ,1
b!tches fu*k and go,1
b!tches get what they want ,1
b!tches loves co*k ,1
b!tches loves di*k ,1
b!tches su*k ,1
b!tches sucks,1
b**bs,1
b**tard,1
b*tch,1
b@st@rd,1
b00bs,1
b00bs are best ,1
ba$tard,1
ba$tard,1
ba$tard fu*ked up,1
bâ‚¹tâ©h,1
bâ‚¹tch,1
bâ‚¹tch face,1
bâ‚¹tch faced human,1
bâ‚¹tch like a witch,1
babe,0
babeland,0
babies,0
babies are so cute but fragile.,0
baby,0
baby,0
baby,0
baby batter,1
baby su*k my co*k ,1
baby su*k my di*k ,1
backdoor,0
backdoorman,0
backseat,0
bad girl open pu$$!,1
bad girl open pu$$y,1
bad word pu$$!,1
bad word pu$$y,1
bada$$,1
bada**,1
badfuck,1
baking,0
balance,0
balance,0
balance,0
balance,0
bald d!â¢k,1
bald d!â©k,1
bald d!ck,1
bald pu$$!,1
bald pu$$y,1
bald pu$s!,1
ball gag,1
ball gravy,1
ball kicking,1
ball licking,1
ball sack,1
ball sucking,1
balllicker,1
balls,1
ballsack,1
bangbros,1
banging,1
baptist,1
bareback,1
barely legal,1
barelylegal,1
barenaked,1
barf,1
barface,1
barfface,1
basement diving mook b**tards,1
basement diving mook b@st@rds,1
basement diving mook ba$tards,1
basement diving mook bastards,1
bast,1
bastard,1
bastard ,1
bastardo,1
bastinado,1
bazongas,1
bazooms,1
bbw,1
bd*m,1
bd*m sex,1
bdsm,1
be patient because i can't do it all right now.,0
beach,0
beach,0
beaner,1
beast,1
beastality,1
beastial,1
beastiality,1
beatoff,1
beat-off,1
beatyourmeat,1
beautiful photo!,0
beautifully composed!,0
beautifully framed.,0
beauty,0
beauty,0
beauty,0
beauty,0
beaver,0
beaver cleaver,1
beaver lips,1
being fashionable is pointless.,0
belief,0
belief,0
best,0
best t*ts,1
bestial,1
bestiality,1
bi,0
bi curious,0
bi**h,1
biatch,1
bible,1
bicurious,1
big,0
big @$$ girl,1
big @$s girl,1
big @s$ girl,1
big @ss girl,1
big a$$,1
big a**,1
big ass gir is so sexy,1
big b00bs ,1
big black,1
big breasts,1
Big cocks always rocks.,1
big college big a$$,1
big college big a$s,1
big d!â¢k horse power ,1
big d!â¢k more women,1
big d!ck horse power ,1
big d!ck more women,1
big di*k,1
big knockers,1
big mountain in maharashtra,0
big pu$$! less boys,1
big pu$$! matters ,1
big pu$$! whoâ®e girl,1
big pu$$y less boys,1
big pu$$y matters ,1
big pu$$y whoâ®e girl,1
big shock d!â¢k,1
big shock d!ck,1
big t*ts,1
big tits,1
bigass,1
bigbastard,1
bigbutt,1
bigger,1
bigger the @$$ the better.,1
bigger the a$$ the better.,1
bigger the a** the better.,1
bigger the ass the better.,1
biggest di*k ,1
biggest fu*ker,1
biggest su*ker,1
bimbos,1
birdlock,1
bisexual,1
bi-sexual,1
bitch,1
bitch,1
bitch duck on w*ore ass slut cunt ha biden it's gucci,1
bitch duck on whorâ‚¬ ass slut cunt ha biden it's gucci,1
bitch duck on whore ass slut cunt ha biden it's gucci,1
bitch my v*gina is a little more resilient than that,1
bitch my v@gin@ is a little more resilient than that,1
bitch my vag!na is a little more resilient than that,1
bitch my vagina is a little more resilient than that,1
bitch slap that a$$hole....with a chair!,1
bitch slap that a**hole....with a chair!,1
bitch slap that assho!e....with a chair!,1
bitch slap that asshole....with a chair!,1
